Wavelength	Refractive Index
300	1.55303
301	1.55268
302	1.55234
303	1.552
304	1.55166
305	1.55133
306	1.551
307	1.55068
308	1.55035
309	1.55004
310	1.54972
311	1.54941
312	1.5491
313	1.54879
314	1.54849
315	1.54819
316	1.5479
317	1.54761
318	1.54732
319	1.54703
320	1.54674
321	1.54646
322	1.54618
323	1.54591
324	1.54564
325	1.54537
326	1.5451
327	1.54483
328	1.54457
329	1.54431
330	1.54406
331	1.5438
332	1.54355
333	1.5433
334	1.54305
335	1.54281
336	1.54257
337	1.54233
338	1.54209
339	1.54185
340	1.54162
341	1.54139
342	1.54116
343	1.54093
344	1.54071
345	1.54049
346	1.54027
347	1.54005
348	1.53983
349	1.53962
350	1.53941
351	1.53919
352	1.53899
353	1.53878
354	1.53858
355	1.53837
356	1.53817
357	1.53797
358	1.53777
359	1.53758
360	1.53738
361	1.53719
362	1.537
363	1.53681
364	1.53663
365	1.53644
366	1.53626
367	1.53607
368	1.53589
369	1.53571
370	1.53554
371	1.53536
372	1.53519
373	1.53501
374	1.53484
375	1.53467
376	1.5345
377	1.53433
378	1.53417
379	1.534
380	1.53384
381	1.53368
382	1.53352
383	1.53336
384	1.5332
385	1.53305
386	1.53289
387	1.53274
388	1.53258
389	1.53243
390	1.53228
391	1.53213
392	1.53199
393	1.53184
394	1.53169
395	1.53155
396	1.53141
397	1.53126
398	1.53112
399	1.53098
400	1.53085
401	1.53071
402	1.53057
403	1.53044
404	1.5303
405	1.53017
406	1.53004
407	1.52991
408	1.52978
409	1.52965
410	1.52952
411	1.52939
412	1.52926
413	1.52914
414	1.52902
415	1.52889
416	1.52877
417	1.52865
418	1.52853
419	1.52841
420	1.52829
421	1.52817
422	1.52805
423	1.52794
424	1.52782
425	1.52771
426	1.5276
427	1.52748
428	1.52737
429	1.52726
430	1.52715
431	1.52704
432	1.52693
433	1.52682
434	1.52672
435	1.52661
436	1.52651
437	1.5264
438	1.5263
439	1.52619
440	1.52609
441	1.52599
442	1.52589
443	1.52579
444	1.52569
445	1.52559
446	1.52549
447	1.52539
448	1.5253
449	1.5252
450	1.52511
451	1.52501
452	1.52492
453	1.52482
454	1.52473
455	1.52464
456	1.52455
457	1.52446
458	1.52437
459	1.52428
460	1.52419
461	1.5241
462	1.52401
463	1.52392
464	1.52384
465	1.52375
466	1.52366
467	1.52358
468	1.5235
469	1.52341
470	1.52333
471	1.52325
472	1.52316
473	1.52308
474	1.523
475	1.52292
476	1.52284
477	1.52276
478	1.52268
479	1.5226
480	1.52253
481	1.52245
482	1.52237
483	1.52229
484	1.52222
485	1.52214
486	1.52207
487	1.52199
488	1.52192
489	1.52185
490	1.52177
491	1.5217
492	1.52163
493	1.52156
494	1.52149
495	1.52141
496	1.52134
497	1.52127
498	1.52121
499	1.52114
500	1.52107
501	1.521
502	1.52093
503	1.52086
504	1.5208
505	1.52073
506	1.52067
507	1.5206
508	1.52053
509	1.52047
510	1.52041
511	1.52034
512	1.52028
513	1.52021
514	1.52015
515	1.52009
516	1.52003
517	1.51997
518	1.5199
519	1.51984
520	1.51978
521	1.51972
522	1.51966
523	1.5196
524	1.51954
525	1.51948
526	1.51943
527	1.51937
528	1.51931
529	1.51925
530	1.5192
531	1.51914
532	1.51908
533	1.51903
534	1.51897
535	1.51892
536	1.51886
537	1.51881
538	1.51875
539	1.5187
540	1.51864
541	1.51859
542	1.51854
543	1.51848
544	1.51843
545	1.51838
546	1.51833
547	1.51827
548	1.51822
549	1.51817
550	1.51812
551	1.51807
552	1.51802
553	1.51797
554	1.51792
555	1.51787
556	1.51782
557	1.51777
558	1.51772
559	1.51768
560	1.51763
561	1.51758
562	1.51753
563	1.51749
564	1.51744
565	1.51739
566	1.51735
567	1.5173
568	1.51725
569	1.51721
570	1.51716
571	1.51712
572	1.51707
573	1.51703
574	1.51698
575	1.51694
576	1.5169
577	1.51685
578	1.51681
579	1.51676
580	1.51672
581	1.51668
582	1.51664
583	1.51659
584	1.51655
585	1.51651
586	1.51647
587	1.51643
588	1.51639
589	1.51634
590	1.5163
591	1.51626
592	1.51622
593	1.51618
594	1.51614
595	1.5161
596	1.51606
597	1.51602
598	1.51599
599	1.51595
600	1.51591
601	1.51587
602	1.51583
603	1.51579
604	1.51576
605	1.51572
606	1.51568
607	1.51564
608	1.51561
609	1.51557
610	1.51553
611	1.5155
612	1.51546
613	1.51542
614	1.51539
615	1.51535
616	1.51532
617	1.51528
618	1.51524
619	1.51521
620	1.51517
621	1.51514
622	1.51511
623	1.51507
624	1.51504
625	1.515
626	1.51497
627	1.51494
628	1.5149
629	1.51487
630	1.51484
631	1.5148
632	1.51477
633	1.51474
634	1.5147
635	1.51467
636	1.51464
637	1.51461
638	1.51458
639	1.51454
640	1.51451
641	1.51448
642	1.51445
643	1.51442
644	1.51439
645	1.51436
646	1.51433
647	1.5143
648	1.51427
649	1.51424
650	1.51421
651	1.51418
652	1.51415
653	1.51412
654	1.51409
655	1.51406
656	1.51403
657	1.514
658	1.51397
659	1.51394
660	1.51391
661	1.51388
662	1.51386
663	1.51383
664	1.5138
665	1.51377
666	1.51374
667	1.51372
668	1.51369
669	1.51366
670	1.51363
671	1.51361
672	1.51358
673	1.51355
674	1.51353
675	1.5135
676	1.51347
677	1.51345
678	1.51342
679	1.51339
680	1.51337
681	1.51334
682	1.51332
683	1.51329
684	1.51327
685	1.51324
686	1.51321
687	1.51319
688	1.51316
689	1.51314
690	1.51311
691	1.51309
692	1.51307
693	1.51304
694	1.51302
695	1.51299
696	1.51297
697	1.51294
698	1.51292
699	1.5129
700	1.51287
701	1.51285
702	1.51282
703	1.5128
704	1.51278
705	1.51275
706	1.51273
707	1.51271
708	1.51269
709	1.51266
710	1.51264
711	1.51262
712	1.5126
713	1.51257
714	1.51255
715	1.51253
716	1.51251
717	1.51248
718	1.51246
719	1.51244
720	1.51242
721	1.5124
722	1.51238
723	1.51235
724	1.51233
725	1.51231
726	1.51229
727	1.51227
728	1.51225
729	1.51223
730	1.51221
731	1.51219
732	1.51217
733	1.51215
734	1.51213
735	1.5121
736	1.51208
737	1.51206
738	1.51204
739	1.51202
740	1.512
741	1.51199
742	1.51197
743	1.51195
744	1.51193
745	1.51191
746	1.51189
747	1.51187
748	1.51185
749	1.51183
750	1.51181
751	1.51179
752	1.51177
753	1.51175
754	1.51174
755	1.51172
756	1.5117
757	1.51168
758	1.51166
759	1.51164
760	1.51163
761	1.51161
762	1.51159
763	1.51157
764	1.51155
765	1.51154
766	1.51152
767	1.5115
768	1.51148
769	1.51146
770	1.51145
771	1.51143
772	1.51141
773	1.5114
774	1.51138
775	1.51136
776	1.51134
777	1.51133
778	1.51131
779	1.51129
780	1.51128
781	1.51126
782	1.51124
783	1.51123
784	1.51121
785	1.51119
786	1.51118
787	1.51116
788	1.51114
789	1.51113
790	1.51111
791	1.5111
792	1.51108
793	1.51107
794	1.51105
795	1.51103
796	1.51102
797	1.511
798	1.51099
799	1.51097
800	1.51096
801	1.51094
802	1.51093
803	1.51091
804	1.51089
805	1.51088
806	1.51086
807	1.51085
808	1.51083
809	1.51082
810	1.51081
811	1.51079
812	1.51078
813	1.51076
814	1.51075
815	1.51073
816	1.51072
817	1.5107
818	1.51069
819	1.51067
820	1.51066
821	1.51065
822	1.51063
823	1.51062
824	1.5106
825	1.51059
